mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.20929837226867676,0.014550487639209991,0.04181337356567383,0.004620236030691275,50.0,scale,rbf,"{'C': 50, 'gamma': 'scale', 'kernel': 'rbf'}",0.9833333333333333,0.97,0.9466666666666667,0.9666666666666667,0.015153535218873157,1
0.19609149297078451,0.0125037030142402,0.04160078366597494,0.0021424530125251588,50.0,0.01,rbf,"{'C': 50, 'gamma': 0.01, 'kernel': 'rbf'}",0.9766666666666667,0.97,0.9466666666666667,0.9644444444444445,0.012862041003100256,2
0.1919842561086019,0.03502608171324761,0.044908364613850914,0.003540506964078931,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9733333333333334,0.9633333333333334,0.94,0.958888888888889,0.013966450099973974,3
0.15593536694844565,0.005645439296402935,0.03775437672932943,0.006350199481965447,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9766666666666667,0.9533333333333334,0.9366666666666666,0.9555555555555556,0.0164053589558149,4
0.18612138430277506,0.014146597388296876,0.03719909985860189,0.012288231666531372,50.0,0.001,rbf,"{'C': 50, 'gamma': 0.001, 'kernel': 'rbf'}",0.9766666666666667,0.9533333333333334,0.9333333333333333,0.9544444444444444,0.017708197167232473,5
0.25356467564900714,0.015290342197014441,0.06579144795735677,0.003201606913429346,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.94,0.94,0.9166666666666666,0.9322222222222222,0.010999438818457398,6
0.17073877652486166,0.009507900221186517,0.046561082204182945,0.014190931536204923,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.94,0.9333333333333333,0.9,0.9244444444444445,0.01749779527558178,7
0.16339858373006186,0.008364145680634833,0.039194583892822266,0.0022210036522119572,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9366666666666666,0.93,0.9033333333333333,0.9233333333333333,0.014401645996461918,8
0.26668739318847656,0.03575651592587861,0.05793897310892741,0.002898322630014176,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.89,0.91,0.87,0.89,0.016329931618554536,9
0.31476251284281415,0.011983844293843395,0.06945347785949707,0.003780806696396565,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8666666666666667,0.8566666666666667,0.8433333333333334,0.8555555555555556,0.009558139185602912,10
0.30655678113301593,0.0031024990182610193,0.06499703725179036,0.0021498075640582264,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8633333333333333,0.8566666666666667,0.84,0.8533333333333334,0.009813067629253163,11
0.42599693934122723,0.020309914451677263,0.07594164212544759,0.001999438725749408,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7833333333333333,0.7866666666666666,0.7566666666666667,0.7755555555555556,0.01342560663732727,12
